id,title,lane,stage,target_crates_and_files,prerequisites,inventory_refs,plan_tests,acceptance,size,cutover_blocking,status,owner,commit
"M01","Pin Python baseline metadata and hashes","baseline/control","P0","migration/baseline/baseline.json;migration/baseline/source-manifest.json","","","","cargo xtask migration verify-baseline --expected 0d28b79","S","yes","in_progress","",""
"M02","Map Python files resources tests and public contracts","baseline/control","P0","migration/baseline/inventory.json;migration/baseline/test-map.csv","M01","","T01-T84","cargo xtask migration check-inventory --source src/agent_run --tests tests","M","yes","in_progress","",""
"M03","Capture Python suite CLI tools config notice and capacity goldens","baseline/control","P0","migration/baseline/baseline-report.md;tests/fixtures/baseline/contracts","M01","","T01;T05-T12;T61-T80",".venv-py314/bin/python -m pytest -q --rootdir . tests and cargo xtask migration verify-baseline-index","M","yes","in_progress","",""
"M04","Build sanitized DB proof home and protocol fixture corpus","baseline/control","P0","tests/fixtures/baseline;tests/fixtures/baseline/index.json","M02;M03","","T13-T17;T37-T60;T67-T71","cargo xtask migration verify-fixtures tests/fixtures/baseline","L","yes","in_progress","",""
"M05","Restructure into the governed Cargo workspace","operations/release","P1","Cargo.toml;Cargo.lock;rust-toolchain.toml;crates;xtask;assets;sql;migration","M01","","","cargo fmt --all --check && cargo check --workspace --locked && cargo test --workspace --locked","L","yes","in_progress","",""
"M06","Prove detached spawn READY and exact-child reaping","platform/artifacts","P1","crates/agent-run-platform/src/spawn.rs;tests/acceptance/spawn_ready.rs;migration/evidence/spawn-ready.md","M05","CO-3","T25;T28;T36","cargo test -p agent-run-platform --test spawn_ready --locked","M","yes","in_progress","",""
"M07","Prove Python-to-Rust process birth identity compatibility","platform/artifacts","P1","crates/agent-run-platform/src/process.rs;tests/acceptance/process_identity.rs;migration/evidence/process-identity.md","M04;M05","CO-4","T30;T31","cargo test -p agent-run-platform --test process_identity --locked","M","yes","in_progress","",""
"M08","Prove Python-compatible canonical JSON bytes","platform/artifacts","P1","crates/agent-run-platform/src/canonical_json.rs;tests/acceptance/canonical_json.rs;migration/adr/A12-canonical-json.md","M04;M05","CO-10","T46","cargo test -p agent-run-platform --test canonical_json --locked","M","yes","in_progress","",""
"M09","Spike native Rust Desktop host capability","delivery/hooks","P1","crates/agent-run/src/desktop_spike.rs;tests/acceptance/desktop_host.rs;migration/adr/A09-desktop-relay.md","M05","CD-8","T71","cargo test -p agent-run --test desktop_host --locked -- --ignored and record a dedicated-host smoke result","M","yes","planned","",""
"M10","Spike MCP negotiation errors cancellation and EOF","transports/CLI","P1","crates/agent-run/src/transport/mcp_spike.rs;tests/acceptance/mcp_interop.rs;migration/adr/A14-mcp.md","M05","TR-3","T67","cargo test -p agent-run --test mcp_interop --locked","M","yes","planned","",""
